Richardson, J Don
Slawomira J. Diener
Michèle Wessa
Stephanie Ridder
Simone Lang
Martin Diers
Regina Steil
Herta Flor
Ervin Poljac
Barbara Montagne
Edward H.F. de Haan
Julie Godard
Simon Grondin
Philippe Baruch
Martin F. Lafleur
Mitchell Rodier
Marie Prévost
Louis Renoult
Claire Lionnet
Yvonne Kwann
Emmanuelle Dionne-Dostie
Isabelle Chapleau
J. Bruno Debruille
M. Mercedes Perez-Rodriguez
Maria A. Oquendo
Katherine M. Keyes
Deborah S. Hasin
Bridget F. Grant
Carlos Blanco
Shira Maguen
Nancy A. Skopp
Thomas J. Metzler
Mrnak-Meyer, Jennifer
Tate, Susan R.
Tripp, Jessica C.
Worley, Matthew J.
Jajodia, Archana
Mcquaid, John R.
Garssen, Joop
Deerenberg, Ingeborg
Mackenbach, Johan P.
Kerkhof, Ad
Kunst, Anton E.
West, Lindsey M.
Davis, Telsie A.
Thompson, Martie P.
Kaslow, Nadine J.
Warner, Christopher H.
Appenzeller, George N.
Parker, Jessica R.
Warner, Carolynn
Diebold, Carroll J.
Grieger, Thomas
Dhillon-Davis, Luther E
Dhillon-Davis, Kieran K
Knox, Kerry L
Litts, David A
Talcott, G Wayne
Feig, Jill Catalano
Caine, Eric D
Steven B Cersovsky
Grahame K Simpson
Robyn L Tate
Diane L Whiting
Rachel E Cotter
Jean-Pierre LÃ©pine
Mike Briley
Hanga C Galfalvy
Dianne Currier
Michael F Grunebaum
Leo Sher
Gregory M Sullivan
Ainsley K Burke
Jill Harkavy-Friedman
M Elizabeth Sublette
Ramin V Parsey
J John Mann
Adeline Nyamathi
Barbara Leake
Cynthia Albarran
Sheldon Zhang
Elizabeth Hall
David Farabee
Elizabeth Marlow
Mary Marfisee
Farinaz Khalilifard
Mark Faucette
Peter Koval
Peter Kuppens
Daniel W Capron
Kristin Fitch
Amanda Medley
Christopher Blagg
Michael Mallott
Thomas Joiner
Paola Solano
Enrico Pizzorno
Anna M Gallina
Chiara Mattei
Filippo Gabrielli
Joshua Kayman
Alison M Gilbert
Jessica L Garno
Raphael J Braga
Yaniv Shaya
Terry E Goldberg
Anil K Malhotra
Katherine E Burdick
Sukanta Saha
James G Scott
Amy K Johnston
Tim N Slade
Daniel Varghese
Gregory L Carter
John J McGrath
David Gunnell
Shu-Sen Chang
Kyla Thomas
Sarah Birch
Samantha Cole
Kate Hunt
Blossom Edwards
Emma Reaney
Mark S Davis
Valerie J Callanan
Feng-Ching Sun
Ying-Chuan Wang
Yi-Ting Chung
Frank Huang-Chih Chou
Chi-Kung Ho
Cheng-Chung Chen
Wei-Jen Chen
Ching-Yun Teng
Guei-Ging Lin
Forwey Lung
Ming-Been Lee
Michael E Thase
Stephen R Wisniewski
Cheryl Chessick
Michael H Allen
Lauren B Marangell
Ellen B Dennehy
Yi Zhang
C k Law
Paul S F Yip
Bregje A J van Spijker
Annemieke van Straten
Nancy Hoeymans
Filip Smit
Daniel W Cox
Farrah N Greene
Jennifer L Bakalar
Christina L Schendel
M Elicia Nademin
David A Jobes
David R Englert
Michael Kindt
M Obermeier
F SeemÃ¼ller
M Jager
T Messer
G Laux
H Pfeiffer
D Naber
L G Schmidt
J KlosterkÃ¶tter
I Heuser
M r Lemke
E RÃ¼ther
S Klingberg
M Gastpar
H-j MÃ¶ller
Damian LÃ¤ge
Samy Egli
Michael Riedel
Anton Strauss
Hans-Jurgen Moller
Michael Obermeier
Klaus KronmÃ¼ller
Peter Brieger
Gerd Laux
Wolfram Bender
Isabella Heuser
Joachim Zeiler
Wolfgang Gaebel
Rebecca Schennach-Wolff
Verena Henkel
Florian SeemÃ¼ller
Hans JÃ¼rgen MÃ¶ller
Vito Agosti
Ying Chen
Frances R Levin
Andrew C Leon
David A Solomon
Chunshan Li
Jess G Fiedorowicz
Jean Endicott
Martin B Keller
Cynthia Z Burton
Lea Vella
Jennifer A Weller
Elizabeth W Twamley
Giancarlo Giupponi
Andreas Conca
Evelyn Schmidt
Hartmann Hinterhuber
Miyuki Aiba
Yutaka Matsui
Takehiko Kikkawa
Toshihiko Matsumoto
Hisateru Tachimori
Richard J Pinder
Amy C Iversen
Nav Kapur
Simon Wessely
Nicola T Fear
Sung-Wan Kim
Robert Stewart
Jae-Min Kim
Il-Seon Shin
Jin-Sang Yoon
Sung-Won Jung
Min-Soo Lee
Hyeon-Woo Yim
Tae-Youn Jun
Matthew K Nock
Russell B Carr
David Delgado-Gomez
Hilario Blasco-Fontecilla
Analucia A Alegria
Teresa Legido-Gil
Antonio ArtÃ©s-RodrÃ­guez
R Borschmann
J Hogg
R Phillips
P Moran
T Hirvikoski
C Lam
M w Wiederman
Anna K McDowell
J Michael Bostwick
Wen-Pei Tsai
Long-Yau Lin
Hui-Chin Chang
Li-Shiuan Yu
Ming-Chih Chou
Cameron R Stark
Vincent Riordan
Rory O'Connor
Marc Hooghe
Bram Vanhoutte
Bruce A Arnow
Christine M Blasey
Enid M Hunkeler
Janelle Lee
Chris Hayward
Alexandra Pitman
David P J Osborn
Amy S B Bohnert
Kathryn M Roeder
Mark A Ilgen
Nader Perroud
Patrick Baud
Dominique Mouthon
Philippe Courtet
Alain Malafosse
Okan Ekinci
Yakup Albayrak
Ali Caykoylu
Lisa A Uebelacker
Nicole M German
Brandon A Gaudiano
Ivan W Miller
Matthew Large
Swapnil Sharma
Elisabeth Cannon
Christopher Ryan
Olav Nielssen
Maria Theresa Redaniel
May Antonette Lebanan-Dalida
Louise Bradvik
Mats Berglund
Michael D Anestis
Caroline Silva
Jason M Lavender
Ross D Crosby
Stephen A Wonderlich
Scott G Engel
Madhukar H Trivedi
David W Morris
Maurizio Fava
Jackie K Gollan
Diane Warden
Andrew A Nierenberg
Bradley N Gaynes
Mustafa M Husain
James F Luther
Sidney Zisook
A John Rush
Deborah A Yurgelun-Todd
C Elliott Bueler
Erin C McGlade
John C Churchwell
Melissa P Lopez-Larson
Theodore Tsaousides
Joshua B Cantor
Wayne A Gordon
Rosalinda V Ignacio
Frederic C Blow
John P Dennis
L Ghio
E Zanelli
S Gotelli
P Rossi
W Natta
F Gabrielli
D Tidemalm
B Runeson
M Waern
T Frisell
E CarlstrÃ¶m
P Lichtenstein
N LÃ¥ngstrÃ¶m
Elena P Calandre
Juan S Vilchez
RocÃ­o Molina-Barea
Maria Isabel Tovar
Juan M Garcia-Leiva
Javier Hidalgo
Carmen Maria Rodriguez-Lopez
Fernando Rico-Villademoros
Manami Kodaka
Vita PoÅ¡tuvan
Masatoshi Inagaki
Mitsuhiko Yamada
White, Richard
Barber, Catherine
Azrael, Deb
Mukamal, Kenneth J.
Sarah Hassan
Laurissa Mallozzi
Niti Dhingra
Sara Chiara Haden
Kenneth R Conner
Rebecca J Houston
Marc T Swogger
Yeates Conwell
Sungeun You
Hua He
Stephanie A Gamble
Arthur Watts
Paul R Duberstein
Link, Bruce G.
Struening, Elmer L.
Rahav, Michael
Phelan, Jo C.
Nuttbrock, Larry
Kelly, J A
St Lawrence, J S
Stevenson, L Y
Hauth, A C
Diaz, Y E
Brasfield, T L
Koob, J J
Morgan, M G
Kelly, Jeffrey A
D'Afflitti, Joanna
Merzel, Cheryl
Clements-Thompson, Michele
Klesges, Robert C.
Haddock, Keith
Lando, Harry
Talcott, Wayne
Stueve, Ann
Pescosolido, Bernice A.
Iversen, Amy
van Staden, Lauren
Hughes, Jamie
Browne, Tess
Hull, Lisa
Hall, John
Greenberg, Neil
Rona, Roberto
Hotopf, Matthew
Fear, Nicola
Leda, C
Gallup, P
Astrachan, B
Milstein, R
Leaf, P
Thompson, D
Errera, P
Pickles, A
Tansella, M
Vazquez-Barquero, JL
Blanchard, EB
Jones-Alexander, J
Forneris, CA
Williams, JB
Bliese, P
Wright, K
Thomas, J
Pinto-Meza, A
Serrano-Blanco, A
Penarrubia, MT
Blanco, E
Prins, A
Cameron, R
Oumiette, PC
Sheikh, J
Kessler, R
Sonnega, A
Hughes, M
Nelson, CB
STATA 10
Simonoff, E
Bebbington, P
Farrell, M
Gill, B
Rose, MR
Sharief, MK
Priddin, J
Ajmal-Ali, R
Sherwood, RA
Spellman, A
Delamont, RS
Sheldon, T
House, A
Hoge, Charles W.
Castro, Carl A.
Messer, Stephen C.
McGurk, Dennis
Cotting, Dave I.
Koffman, Robert L.
CRISP, ARTHUR H.
GELDER, MICHAEL G.
RIX, SUSANNAH
MELTZER, HOWARD I.
ROWLANDS, OLWEN J.
Rose, Geoffrey
Pridmore, Saxby
Breslau, Naomi
Davis, Glenn C.
Andreski, Patricia
Peterson, Edward
Marshall, Randall D.
Olfson, Mark
Hellman, Fredric
Guardino, Mary
Motto, Jerome A.
Kaufman, Joan
Charney, Dennis
Hawthorne, G.
Allen, N.
Novaco, R. W.
Lamis, Dorian A.
Malone, Patrick S.
Brett, Jeanne M.
Cozza, Stephen
Chun, Ryo
Polo, James
Martin, Sandra L.
Goff, Briana S. Nelson
Crow, Janet R.
Reisbig, Allison M. J.
Hamilton, Stacy
Hagan, John
MacMillan, Ross
Wheaton, Blair
Hiew, Chok C.
Huebner, Angela J.
Mancini, Jay A.
Wilcox, Ryan M.
Grass, Saralyn R.
Grass, Gabriel A.
Finkel, Lisa B.
Kelley, Michelle L.
Ashby, Jayne
Kelly, Michelle L M.
Hock, Ellen
Smith, Kathleen 
Murray, John S.
Kuntz, Kathleen Ryan
Pincus, Simon H.
House, Robert
Christenson, Joseph
Adler, Lawrence E.
National Military Family Association
Bonnie Duran
Lorraine Halinka Malcoe
Margaret Sanders
Howard Waitzkin
Betty Skipper
Joel Yager
Rentz, E. Danielle
Marshall, Stephen W.
Loomis, Dana
Casteel, Carri
Judy A. Temple
Arthur J. Reynolds
Kupper, Lawrence L.
Logan, K.V.
Jacobson, Isabel G.
Ryan, Margaret A. K.
Hooper, Tomoko I.
Smith, Tyler C.
Amoroso, Paul J.
Boyko, Edward J.
Gackstetter, Gary D.
Wells, Timothy S.
Bell, Nicole S.
Auchterlonie, Jennifer L.
Milliken, Charles S.
Kuehn, Bridget M.
Thomas, Jeffrey L.
Cox, Anthony L.
Engel, Charles C.
Waterhouse, M.
O'Bryant, J.
Gordana, Dedic J.
Milivoje, Panic
Bostrom, Alan G.
Foster, E.
Bryan, Craig
Anestis, Michael
Armed Forces Health Surveillance Center (AFHSC)
Robinson, Ronnie
Davis, Jamie D
Krueger, Mary
Gore, Kristie
Freed, Michael C
Kuesters, Phoebe
Dube, Shanta
Camarca, M M
Belik, Shay-Lee
Stein, Murray B
Asmundson, Gordon J G
Sareen, Jitender
Hansen, B C
Eaton, Danice K
Foti, Kathryn
Brener, Nancy D
Crosby, Alex E
Flores, Glenn
Kann, Laura
Grayson, K
Helmkamp, J
Woodruff, Susan I
Conway, Terry L
Shillington, Audrey M
Clapp, John D
Lemus, Hector
Reed, Mark B
Chisick, M C
Poindexter, F R
York, A K
Smith, Besa
Gray, Gregory C
Lange, Jeffrey L
Lesikar, Sandra E
Rubertone, Mark V
Brundage, John F
Payne, Daniel C
Aranas, Aaron
McNeil, Michael M
Duderstadt, Susan
Rose, Charles E
Williams, Jeffrey O
Foster, E Michael
Höök-Nikanne, J
Isometsä, E
Gould, Matthew
Adler, Amy
Zamorski, Mark
Castro, Carl
Hanily, Natalie
Steele, Nicole
Kearney, Steve
Levai, M
Kaplan, S
Ackermann, R
Hammock, M
Warner, Carolynn M
Andover, Margaret S
Carter, Robert
Cheuvront, Samuel N
Kolka, Margaret A
Stephenson, Lou A
Sawka, Michael N
Gunderson, E
Gunderson, E K Eric
Nang, R N
Lau, J J
Thach, A B
Burden, J H
Ward, T P
Hshieh, P B
Hollifield, R D
Pastel, R H
Mulvaney, J
Herrell, Richard
Henter, Ioline D
Mojtabai, Ramin
Bartko, John J
Venable, Diane
Susser, Ezra
Merikangas, Kathleen R
Wyatt, Richard J
Szeto, Edwin H
Engel, Charles
Wynn, Gary H
Bradley, John
Grammer, Geoffrey
Russell, Kevin L
Rubenstein, Jennifer
Burke, Ronald L
Vest, Kelly G
Johns, Matthew C
Sanchez, Jose L
Meyer, William
Fukuda, Mark M
Blazes, David L
Craig, S C
Kohlhase, K
Polyak, C
Ludwig, S L
Rumm, P D
Capleton, Alexander C
Wickramatillake, Hemantha
Rushton, Lesley
Hoke, Charles H
Hospenthal, Duane R
Armed Forces Health Surveillance Center
Keane, Terence M.
Marshall, Amy D.
Taft, Casey T.
Kilpatrick, Dean G.
Koenen, Karestan C.
Ruggiero, Kenneth J.
Acierno, Ron
Galea, Sandro
Resnick, Heidi S.
Roitzsch, John
Boyle, John
Gelernter, Joel
Ludman, Evette J.
Simon, Gregory E.
Grothaus, Louis C.
Luce, Casey
Markley, David K.
Schaefer, Judith
Meresman, Joel F.
Hargreaves, William A.
Fireman, Bruce
Berman, William H.
Kirsch, Arlene J.
Groebe, Jennifer
Hurt, Stephen W.
Braden, Patricia
Getzell, Michael
Feigenbaum, Paul A.
Peng, Tiffany
Salzer, Mark
Akiskal, Hagop S.
Bitar, Adib H.
Puzantian, Vahe R.
Rosenthal, Ted L.
Walker, Parks W.
Allebeck, Peter
Allgulander, Christer
Fisher, Lloyd D.
BABIGIAN, HAROUTUN M.
ODOROFF, CHARLES L.
BARRACLOUGH, B. M.
Black, Donald W.
Warrack, Giles
Winokur, George
Fagg, J
Allen, John P.
Litten, Raye Z.
Fertig, Joanne B.
Babor, Thomas
Robin Room
JÃ¼rgen Rehm
Smith*, Kevin W.
Larson, Mary Jo
Volk, Robert J.
Cantor, Scott B.
Steinbauer, Jeffrey R.
Cass, Alvah R.
Lurie, Nicole
Popkin, Michael
Dysken, Maurice
Moscovice, Ira
Finch, Michael
Mandy A. Stahre
Robert D. Brewer
Vincent P. Fonseca
Timothy S. Naimi
Morgan, Thomas J.
Morgenstern, Jon
Blanchard, Kimberly A.
Labouvie, Erich
Bux, Donald A.
Spitzer, Robert L.
Kroenke, Kurt
Linzer, Mark
Hahn, Steven R.
Williams, Janet B. W.
deGruy, Frank Verloin
Brody, David
Davies, Mark
Wilk, Alev I.
Jensen, Norman M.
Havighurst, Thomas C.
Beich, Anders
Thorsen, Thorkil
Rollnick, Stephen
Corrigan, John D.
Cole, Thomas B.
Peters, T. J.
Millward, L. M.
Foster, J.
Senier, Laura
Strowman, Shelley R.
Michael D. Stein
Kevin P. Mulvey
Alonzo Plough
Jeffrey H. Samet
Romeis, J.C.
Waterman, B.
Slutske, W. S.
Donovan, D.
Mattson, M. E.
Cisler, R. A. 
Zweben, A.
Kaner, E. F. S.
Dickinson, H. O.
Beyer, F.
Pienaar, E.
Campbell, F.
Schlesinger, C.
Heather, N.
Saunders, J.
Burnand, B.
Ryan-Wenger, Nancy A.
Hettema, Jennifer
Steele, Julie
Miller, William R.
Darte, K.
Grenier, Stephane
English, A.
Sharpe, J.
Wolfgang, B.
Barton, D.
Callahan, Daryl J DJ
Jetly, R. 
Cooper, K.
Hendin, Herbert
Al Jurdi, Rayan K.
Houck, Patricia R.
Hughes, Susan
Turner, J. Blake
Large, Matthew M.
MacDermott, Devon
House, R.
Christenson, J.
Valenstein, Marcia
Austin, Karen
Johnson, S. J.
Hoffman, J. S.
Johnson, J. E.
Lochman, J. E.
Magee, T. N.
Riggs, D.
Rodríguez, José R JR
Quiñones-Maldonado, Randy R
Alvarado-Pomales, Awilda A
Posey, Sebrina
Lewis, Michael D.
Hibbeln, Joseph R.
Johnson, Jeremiah E.
Lin, Yu H.
Hyun, Duk Y.
Loewke, James D.
Wortzel, Hal S.
Binswanger, Ingrid A.
Anderson, C. Alan
Gutierrez, Peter M.
Cornette, Michelle M.
Bahraini, Nazanin
Oldham, John
Sundararaman, R
Panangala, V
Lister, SA
Frayne, Susan M.
Seaver, Margaret R.
Loveland, Susan
Christiansen, Cindy L.
Spiro, Avron, III
Parker, Victoria A.
Skinner, Katherine M.
Weissman, Myrna M.
Bland, Roger C.
Canino, Glorisa J.
Faravelli, Carlo
Greenwald, Steven
Hwu, Hai-Gwo
Joyce, Peter R.
Karam, Eile G.
Lee, Chung-Kyoon
Lellouch, Joseph
Newman, Stephen C.
Rubio-Stipec, Maritza
Wells, J. Elisabeth
Wickramaratne, Priya J.
Wittchen, Hans-Ulrich
Yeh, Eng-Kung
Zhang, Xuanping
Norris, Susan L.
Gregg, Edward W.
Cheng, Yiling J.
Beckles, Gloria
Kahn, Henry S.
Goulet, Joseph L.
Fultz, Shawn L.
Rimland, David
Butt, Adeel
Gibert, Cynthia
Rodriguez-Barradas, Maria
Bryant, Kendall
Justice, Amy C.
Bean-Mayberry, Bevanne
Yano, Elizabeth M.
Mor, Maria K.
Bayliss, Nichole K.
Xu, Xiangyan
Fine, Michael J.
Bevanne A. Bean-Mayberry
Chung-Chou H. Chang
Melissa A. McNeil
Sarah Hudson Scholle
Hoff, Rani A.
Kang, Han K.
Mahan, Clare M.
Lee, Kyung Y.
Magee, Carol A.
Murphy, Frances M.
Meehan,S. 
Sullivan, Lisa M.
Tripp, Tara J.
Hankin, Cheryl S.
Kressin, Nancy R.
Miller, Donald R.
Hyams, Kenneth C.
Kowal, Dennis M.
Lapierre, Coady B.
Schwegler, Andria F.
LaBauve, Bill J.
Wingard, Deborah L.
Kritz-Silverstein, Donna
Slymen, Donald J.
Sallis, James F.
for the Millennium Cohort Study Team
Kimerling, Rachel
Clum, Gretchen A.
Walkup, James T.
Wei, Wenhui
Sambamoorthi, Usha
Crystal, Stephen
Seal, Karen H.
Gima, Kristian S.
Bertenthal, Daniel
Matthieu, Monica M.
Cross, Wendi
Batres, Alfonso R.
Flora, Charles M.
Lemon, Dedra Deann
Reynolds, Cecil
Desai, Mayur M.
Desai, Rani A.
Zivin, Kara
Kim, H Myra, PhD
McCarthy, John F, PhD
Austin, Karen L, MPH
Hoggatt, Katherine J, PhD
Walters, Heather
Damm, Nadia
Thoresen, Siri
Mehlum, Lars
Røysamb, Espen
Tønnessen, Arnfinn
BUNCH, J.
SAINSBURY, P.
Stewart, Sherry H.
BOOK,S. W.
COLKET,J. T.
ROTH,S.
DAVID,D.
HERTZBERG,M.
MELLMAN,T.
SMITH,R. D.
DAVISON,R. M.
KATZ,R.
Dozois, David J. A.
Dobson, Keith S.
Ahnberg, Jamie L.
Kovacs, Maria
Weissman, Arlene
Borges, Guiherme
Walters, Ellen E.
Kessler, Ronald C.
Yen, Shirley
Shea, Tracie
Pagano, Maria
Sanislow, Charles A.
Grilo, Carlos M.
McGlashan, Thomas H.
Skodol, Andrew E.
Bender, Donna S.
Zanarini, Mary C.
Gunderson, John G.
Morey, Leslie C.
Fairbank, John A.
Caddell, Juesta M.
Zimering, Rose T.
Taylor, Kathryn L.
Mora, Catherine A.
Kate A Cochrane-Brink
Jodi S Lofchy
Isaac Sakinofsky
Steer, Robert A.
Ball, Roberta
Ranieri, William F.
Leskin, Gregory A.
Weathers, Frank W.
Davidson, Jonathan R.T.
Tharwani, Haresh M.
Connor, Kathryn M.
Inger Frombach
John McQuaid
Paolo Pedrelli
Rebecca Lenox
McDonald, Scott D.
Beckham, Jean C.
Morey, Rajendra
Marx, Christine
Tupler, Larry A.
Calhoun, Patrick S.
Kuoppasalmi, KI
Jakupcak, Matthew
Cook, Jessica
Imel, Zac
Fontana, Alan
Rosenheck, Robert
McFall, Miles
Boscarino, Joseph A JA
Shalev, Arieh Y.
Freedman, Sara
Peri, Tuvia
Brandes, Dalia
Sahar, Tali
Orr, Scott P.
Pitman, Roger K.
Shafii, M
Carrigan, S
Whittinghill, JR
Derrick, A
Valente, Sharon M.
Grisham, Jessica R.
Nye, Ella C.
Bell, Jordan B.
Benda, Brent B
Moller, Bjorn
Kausch, Otto
McCormick, Richard A.
Bagge, Courtney L.
Tull, Matthew T.
Bender, Theodore W.
Selby, Edward A.
Ribeiro, Jessica D.
Rajendra A. Morey
Brian J. Cox
Natalie Mota
Ian Clara
Gregg, L.
Lavender, Jason
Marshall-Berenz, Erin
Gratz, Kim
Tull, Matthew
Bresin, Konrad
Joiner Jr., Thomas E.
Bodell, Lindsay P.
Smith, April R.
Holm-Denoma, Jill M.
Cukrowicz, Kelly C
Schlegel, Erin F
Smith, Phillip N
Jacobs, Matthew P
Paukert, Ambert L
Pettit, Jeremy W
Timmons, Katherine A.
Sawyer, Kathryn
Caron, Kelly M.
Gummelt, Haley D.
Joiner, Thomas E TE
Ribeiro, Jessica D JD
Krakow, Barry
Ulibarri, Victor A.
Krakow, Jessica
Laurent, Jeff
Catanzaro, Salvatore J.
Hakkarainen, Reeta
Partonen, Timo
Haukka, Jari
Virtamo, Jarmo
Albanes, Demetrius
Lonnqvist, Jouko
Selby, Edward
Connell, Lavonna
Li, Norman
Quinton, Stephanie Jane
Smith, April Rose
Bruffaerts, Ronny
Demyttenaere, Koen
Haro, Josep Maria
Chiu, Wai Tat
Hwang, Irving
Karam, Elie G.
Sampson, Nancy
Alonso, Jordi
Andrade, Laura Helena
Angermeyer, Matthias
Benjet, Corina
Bromet, Evelyn
de Girolamo, Giovanni
de Graaf, Ron
Florescu, Silvia
Gureje, Oye
Horiguchi, Itsuko
Hu, Chiyi
Kovess, Viviane
Levinson, Daphna
Posada-Villa, Jose
Sagar, Rajesh
Scott, Kate
Tsang, Adley
Vassilev, Svetlozar M.
Williams, David R.
Hong Jin Jeon
Myoung-Sun Roh
Kyu-Han Kim
Jeong-Ryul Lee
Dongsoo Lee
Se Chang Yoon
Bong-Jin Hahm
Larry Pan
Dean Fergusson
Irwin Schweitzer
Paul C. Hebert
Janal, M.
Janal, Malvin
Hawkeswood, Sean E.
Counts-Allan, Carla
James, Lisa M.
Jansen, Angelique C.M.
van Aalst-Cohen, Emily S.
Hutten, Barbara A.
Büller, Harry R.
Kastelein, John J.P.
Prins, Martin H.
BLAND,R. C.
CANINO,G. J.
HWU,H.-G.
LEE,C.-K.
LELLOUCH,J.
LEPINE,J.-P.
NEWMAN,S. C.
RUBIO-STIPEC,M.
WICKRAMARATNE,P. J.
WITTCHEN,H.-U.
YEH,E.-K.
Sfoggia, Ana
Pacheco, Marco Antonio
Grassi-Oliveira, Rodrigo
John Briere
Diana M Elliott
Robert W. Robin
Barbara Chester
Jolene K. Rasmussen
James M. Jaranson
David Goldman
Ferrada-Noli, Marcello
Asberg, Marie
Ormstad, Kari
Lundin, Tom
Sundbom, Elisabet
Gearing, R. E. 
Mian, I. A. 
Barber, J
Ickowicz, A. 
Floen, S. K. 
Elklit, A.
Frankel, S.
Gordon, Kathryn
Bender, Theodore
Gordon, Linda
Morrow, Chad E.
Fink, Erin L.
Braithwaite, Scott
Bebbington, Paul E.
Cooper, Claudia
Minot, Sarah
Brugha, Traolach S.
Jenkins, Rachel
Meltzer, Howard
Dennis, Michael
McCarthy, John F.
Kim, H. Myra
Ilgen, Mark
Richey, J. Anthony
Lim,Ingrid C
Baker,Monty T
Keel, Pamela K.
Gravener, Julie A.
Haedt, Alissa A.
Lisa M. McTeague
Peter J. Lang
Marie-Claude Laplante
Margaret M. Bradley
Palmiero Monteleone
Vassilis Martiadis
Mario Maj
Bulik, Cynthia M.
Thornton, Laura
Brandt, Harry A.
Crawford, Steve
Fichter, Manfred M.
Halmi, Katherine A.
Jacoby, Georg E.
Johnson, Craig L.
Jones, Ian
Kaplan, Allan S.
Mitchell, James E.
Nutzinger, Detlev O.
Strober, Michael
Treasure, Janet
Woodside, D. Blake
Kaye, Walter H.
Susan L. Bryant
Lillian M. Range
Anestis, Joye C.
Schacker, Timothy W.
Hughes, James P.
Shea, Theresa
Coombs, Robert W.
Corey, Lawrence
Hall, H. Irene
Song, Ruiguang
Rhodes, Philip
Prejean, Joseph
An, Qian
Lee, Lisa M.
Karon, John
Brookmeyer, Ron
Kaplan, Edward H.
McKenna, Matthew T.
Janssen, Robert S.
Daar, Eric S.
Little, Susan
Pitt, Jacqui
Santangelo, Joanne
Ho, Pauline
Harawa, Nina
Kerndt, Peter
Giorgi, Janis V.
Bai, Jiexin
Gaut, Paula
Richman, Douglas D.
Mandel, Susan
Nichols, Stephen
for the Los Angeles County Primary HIV Infection Recruitment Network*
Pincus, Jonathan M.
Crosby, Sondra S.
Losina, Elena
King, Erin R.
LaBelle, Colleen
Freedberg, Kenneth A.
Renzullo, Philip O.
Sateren, Warren B.
Garner, Robin P.
Milazzo, Mark J.
Birx, Deborah L.
McNeil, John G.
deRoon-Cassini, Terri A.
Fosco, Gregory M.
Holloway, Richard L.
Clark, David C.
Gandhi, Neel R.
Skanderson, Melissa
Gordon, Kirsha S.
Concato, John
Agan, Brian K.
Bautista, Christian T.
Hakre, Shilpa
Kijak, Gustavo H.
McCutchan, Francine E.
Michael, Nelson L.
O&apos;Connell, Robert J.
Sanders-Buell, Eric
Scott, Paul T.
Singer, Darrell E.
Sharghi N
Bosch RJ
Mayer K
Essex M
Seage GR
Fleishman, John A.
Gebo, Kelly A.
Reilly, Erin D.
Conviser, Richard
Mathews, W Christopher
Korthuis, P Todd
Hellinger, James
Rutstein, Richard
Keiser, Philip
Rubin, Haya
Moore, Richard D.
for the HIV Research Network
Kelley, P W
Miller, R N
Pomerantz, R
Wann, F
Burke, D S
Marks, Gary
Crepaz, Nicole
Senterfitt, J Walton
Marconi, Vincent
Grandits, Greg
Weintrob, Amy
Chun, Helen
Landrum, Michael
Ganesan, Anuradha
Okulicz, Jason
Crum-Cianflone, Nancy
O'Connell, Robert
Lifson, Alan
Wortmann, Glenn
Agan, Brian
the Infectious Disease Clinical Research Program HIV Working Group (IDCRP)
Scaringi, Vanessa
Cukrowicz, Kelly
Silverman, Morton
Cordero, Liliana
Jaime Delgadillo
Scott Payne
Simon Gilbody
Christine Godfrey
Stuart Gore
Dawn Jessop
Veronica Dale
Hymie
Anisman
Lynn E. Sullivan
David A. Fiellin
Schmidt, Norman
Barber, Ed
Sklar, Peter
Burns, Andrea
Brown, Jessica
SachsEricsson, Natalie
Plant, Ashby
Curtis, Thomas
Fredrickson, Barbara
Cain, Angela S.
Bardone-Cone, Anna M.
Abramson, Lyn Y.
Castro, Yessenia
Brown, Jessica S.
Donohue, Keith F.
Waesche, Matthew C.
Jakobsons, Lara J.
Merrill, Katherine A.
Buckner, Julia D.
Heatherton, Todd F.
Kelley, C. F.
 Barbour, J. D. 
Hecht, F. M. 
Herzog, David B.
Franko, Debra L.
Fichter, Manfred
Quadflieg, Norbert
Overholser, James C.
Loney, Bryan
Fowler, Stevie
Milikan, AM
Brundage, M
Wawer, Maria J.
Gray, Ronald H.
Sewankambo, Nelson K.
Serwadda, David
Li, Xianbin
Laeyendecker, Oliver
Kiwanuka, Noah
Kigozi, Godfrey
Kiddugavu, Mohammed
Lutalo, Thomas
Nalugoda, Fred
Wabwire-Mangen, Fred
Meehan, Mary P.
Quinn, Thomas C.
Kassutto, Sigall
Rosenberg, Eric S.
Sewankambo, Nelson
Li, Chuanjun
Meehan, Mary O.
Hecht, Frederick M.
Busch, Michael P.
Rawal, Bhupat
Webb, Marcy
Rosenberg, Eric
Swanson, Melinda
Chesney, Margaret
Anderson, Jennifer
Levy, Jay
Kahn, James O.
Campsmith, Michael L
Rhodes, Philip H
Green, Timothy A
Gardner, Lytt I.
Wann, Z. Frank
Redfield, Robert R.
Burke, Donald S.
Miller, Richard N.
the US Army Retrovirus Research Group
Bollinger, Robert C.
Brookmeyer, Ronald S.
Mehendale, Sanjay M.
Paranjape, Ramesh S.
Shepherd, Mary E.
Gadkari, Deepak A.
National Guideline Clearinghouse (NGC)
Klein, Daniel
Hurley, Leo B.
Merrill, Deanna
Quesenberry, Charles P. Jr.
CHAIR (Consortium for HIV/AIDS Interregional Research)
Crum-Cianflone, NF
Grandits, G
Echols, S
Ganesan, A
Landrum. M
Weintrob, A
Barthel, R. 
Agan, B
Coco, Andrew
Kleinhans, Emily
White, DAE
Warren, OU
Scribner, AN
Frazee, BW
